"Journey Brown","Philadelphia","2020-11-12T01:55:15Z",8,0
"#WWENXT","Philadelphia","2020-11-12T01:55:15Z",9,0
"#CMAawards","Philadelphia","2020-11-12T01:55:15Z",10,16568
"Knicks","Philadelphia","2020-11-12T01:55:15Z",11,19481
"Cy Young","Philadelphia","2020-11-12T01:55:15Z",12,23800
"Embiid","Philadelphia","2020-11-12T01:55:15Z",13,0
"Mississippi","Philadelphia","2020-11-12T01:55:15Z",14,39237
"WWII","Philadelphia","2020-11-12T01:55:15Z",15,38161
"Vietnam","Philadelphia","2020-11-12T01:55:15Z",16,47014
"Ron Klain","Philadelphia","2020-11-12T01:55:15Z",17,31998
"SNKRS","Philadelphia","2020-11-12T01:55:15Z",18,10190
"Clint Black","Philadelphia","2020-11-12T01:55:15Z",19,0
"Toobin","Philadelphia","2020-11-12T01:55:15Z",20,24191
"My YouTube","Philadelphia","2020-11-12T01:55:15Z",21,178243
"Chief of Staff","Philadelphia","2020-11-12T01:55:15Z",22,83973
"Karl Rove","Philadelphia","2020-11-12T01:55:15Z",23,0
"LeAnn Rimes","Philadelphia","2020-11-12T01:55:15Z",24,0
"Sonny Gray","Philadelphia","2020-11-12T01:55:15Z",25,0
"RIP MO3","Philadelphia","2020-11-12T01:55:15Z",26,31615
"Bauer","Philadelphia","2020-11-12T01:55:15Z",27,21894
"YouTubeTV","Philadelphia","2020-11-12T01:55:15Z",28,116421
"DeWine","Philadelphia","2020-11-12T01:55:15Z",29,12285
"Kawhi","Philadelphia","2020-11-12T01:55:15Z",30,0
"CMAs","Philadelphia","2020-11-12T01:55:15Z",31,0
"Gargano","Philadelphia","2020-11-12T01:55:15Z",32,0
"Lisa Hartman Black","Philadelphia","2020-11-12T01:55:15Z",33,0
"Charlie Daniels","Philadelphia","2020-11-12T01:55:15Z",34,0
"deGrom","Philadelphia","2020-11-12T01:55:15Z",35,0
"RIP YouTube","Philadelphia","2020-11-12T01:55:15Z",36,0
"Ticketmaster","Philadelphia","2020-11-12T01:55:15Z",37,31847
"Them 11s","Philadelphia","2020-11-12T01:55:15Z",38,0
"giannis","Philadelphia","2020-11-12T01:55:15Z",39,0
"Brian Cage","Philadelphia","2020-11-12T01:55:15Z",40,0
"Matt Sydal","Philadelphia","2020-11-12T01:55:15Z",41,0
"Reds","Philadelphia","2020-11-12T01:55:15Z",42,20947
"Maren Morris","Philadelphia","2020-11-12T01:55:15Z",43,0
"The Rockets","Philadelphia","2020-11-12T01:55:15Z",44,24370
"#BTSMusicInnovator","Philadelphia","2020-11-12T01:55:15Z",45,105977
"#ChicagoMed","Philadelphia","2020-11-12T01:55:15Z",46,0
"#WeAre","Philadelphia","2020-11-12T01:55:15Z",47,0
"#TrumpIsPathetic","Philadelphia","2020-11-12T01:55:15Z",48,17425
"#VeteransDay","Philadelphia","2020-11-12T01:55:15Z",49,440461
"#OperationWarpConcede","Philadelphia","2020-11-12T01:55:15Z",50,24592
"Walmart","Philadelphia","2020-11-12T17:29:47Z",1,92298
"New Philadelphia","Philadelphia","2020-11-12T17:29:47Z",2,0
"Thanksgiving","Philadelphia","2020-11-12T17:29:47Z",3,144767
"Bryson","Philadelphia","2020-11-12T17:29:47Z",4,15171
"#ThursdayThoughts","Philadelphia","2020-11-12T17:29:47Z",5,40898
"#PS5Launch","Philadelphia","2020-11-12T17:29:47Z",6,0
"Staten Island","Philadelphia","2020-11-12T17:29:47Z",7,12016
"Masters","Philadelphia","2020-11-12T17:29:47Z",8,75498
"PlayStation 5","Philadelphia","2020-11-12T17:29:47Z",9,63442
"Sony","Philadelphia","2020-11-12T17:29:47Z",10,70719
"Miles Morales","Philadelphia","2020-11-12T17:29:47Z",11,38162
"#WearAMask","Philadelphia","2020-11-12T17:29:47Z",12,12648
"Cold War","Philadelphia","2020-11-12T17:29:47Z",13,43576
"Sheetz","Philadelphia","2020-11-12T17:29:47Z",14,0
"Knicks","Philadelphia","2020-11-12T17:29:47Z",15,24912
"Golden Goose","Philadelphia","2020-11-12T17:29:47Z",16,31181
